Nama,HP,HP Regen,Physical Attack,Physical Defence,Attack Speed,Attack Speed pc,Mana,Mana Regen,Magic Power,Magic Defence,Movement Speed,Critical Chance,Critical Damage,Critical Damage Reduction,Cooldown Reduction,Spell Vamp,Magic Lifesteal,Physical PEN,Physical PEN Persen,Magical PEN,Magical PEN Persen,Resilience,Efek Pemulihan,Pemulihan Diterima,Attack Speed Total
Helcurt,2599,7,121,17,1.16,100,440,16,0,15,255,0,200,0,0,0,0,0,0,0,0,0,0,0,1.16
Hilda,2789,8.4,123,24,1.05,100,0,0,0,15,260,0,200,0,0,0,0,0,0,0,0,0,0,0,1.05
Hylos,3109,18.4,105,17,1.03,100,430,12,0,15,260,0,200,0,0,0,0,0,0,0,0,0,0,0,1.03
Irithel,2540,7,118,17,1.03,80,430,15,0,15,260,0,200,0,0,0,0,0,0,0,0,0,0,0,0.824
Jawhead,2658,7.8,119,24,1.12,100,430,16,0,15,255,0,200,0,0,0,0,0,0,0,0,0,0,0,1.12
Johnson,2809,8.4,120,27,1.03,100,0,0,0,15,255,0,200,0,0,0,0,0,0,0,0,0,0,0,1.03
Kadita,2491,7.2,105,18,1,100,495,18,0,15,240,0,200,0,0,0,0,0,0,0,0,0,0,0,1
Kagura,2556,7,118,19,1.01,100,519,21,0,10,240,0,200,0,0,0,0,0,0,0,0,0,0,0,1.01
Kaja,2609,10.4,120,21,1.05,100,400,12,0,15,270,0,200,0,0,0,0,0,0,0,0,0,0,0,1.05
Karina,2633,7.8,121,20,1.12,100,431,16,0,15,260,0,200,0,0,0,0,0,0,0,0,0,0,0,1.12
Karrie,2578,8,120,17,1.04,100,440,15,0,15,240,0,200,0,0,0,0,0,0,0,0,0,0,0,1.04
Khaleed,2778,7,109,23,1.05,100,0,0,0,15,250,0,200,0,0,0,0,0,0,0,0,0,0,0,1.05
Khufra,2779,9.4,117,19,0.98,100,460,15,0,15,255,0,200,0,0,0,0,0,0,0,0,0,0,0,0.98
Kimmy,2450,8,90,22,1.03,100,100,5,0,15,245,0,200,0,0,0,0,0,0,0,0,0,0,0,1.03
Lancelot,2549,7,124,26,1.08,100,450,16,0,15,260,0,200,0,0,0,0,0,0,0,0,0,0,0,1.08
Lapu-Lapu,2628,7,119,21,1.12,100,0,0,0,15,260,0,200,0,0,0,0,0,0,0,0,0,0,0,1.12
Layla,2500,5.4,125,15,1.06,100,424,14,0,15,240,0,200,0,0,0,0,0,0,0,0,0,0,0,1.06
Leomord,2738,7,126,21,1.05,100,0,0,0,15,240,0,200,0,0,0,0,0,0,0,0,0,0,0,1.05
Lesley,2490,7.2,131,14,1.04,100,100,3,0,15,240,0,200,0,0,0,0,0,0,0,0,0,0,0,1.04
Ling,2578,7.8,125,18,1.01,100,100,4,0,15,260,0,200,0,0,0,0,0,0,0,0,0,0,0,1.01
Lolita,2579,9.6,115,27,0.98,100,480,12,0,15,260,0,200,0,0,0,0,0,0,0,0,0,0,0,0.98
Lunox,2621,6.8,115,15,1.01,100,540,23,0,15,240,0,200,0,0,0,0,0,0,0,0,0,0,0,1.01
Luo Yi,2601,7.2,107,20,0.99,100,520,21,0,15,250,0,200,0,0,0,0,0,0,0,0,0,0,0,0.99
Lylia,2501,6.8,113,17,1.01,100,500,19,0,15,245,0,200,0,0,0,0,0,0,0,0,0,0,0,1.01
Marsha,2043,3.8,101,20,1,100,0,0,0,15,250,0,200,0,0,0,0,0,0,0,0,0,0,0,1
Martis,2738,7,128,25,1.08,100,0,0,0,15,260,0,200,0,0,0,0,0,0,0,0,0,0,0,1.08
Mathilda,2651,6.8,120,22,1,100,430,16,0,15,252,0,200,0,0,0,0,0,0,0,0,0,0,0,1
Minotaur,2859,8.8,123,18,0.91,100,0,0,0,10,260,0,200,0,0,0,0,0,0,0,0,0,0,0,0.91
Minsitthar,2698,7.4,121,23,1.06,100,380,16,0,15,260,0,200,0,0,0,0,0,0,0,0,0,0,0,1.06
Miya,2524,6,100,17,1.06,100,445,15,0,15,240,0,200,0,0,0,0,0,0,0,0,0,0,0,1.06
Moskov,2455,6.4,125,16,1.01,100,420,15,0,15,240,0,200,0,0,0,0,0,0,0,0,0,0,0,1.01
Nana,2501,6.8,115,17,1.08,100,510,18,0,15,250,0,200,0,0,0,0,0,0,0,0,0,0,0,1.08
Natalia,2639,7,121,18,1.1,50,486,16,0,15,260,0,200,0,0,0,0,0,0,0,0,0,0,0,0.55
Natan,2530,6,110,17,0.87,100,443,15,0,15,245,0,200,0,0,0,0,0,0,0,0,0,0,0,0.87
Odette,2491,6.8,105,18,1,100,495,23,0,15,240,0,200,0,0,0,0,0,0,0,0,0,0,0,1
Paquito,2798,9.8,121,22,1.22,100,0,0,0,15,260,0,200,0,0,0,0,0,0,0,0,0,0,0,1.22
Pharsa,2421,6.8,109,17,0.98,100,490,18,0,15,240,0,200,0,0,0,0,0,0,0,0,0,0,0,0.98
Phoveus,2828,10.8,132,25,1.02,100,430,21,0,15,252,0,200,0,0,0,0,0,0,0,0,0,0,0,1.02
Popol dan Kupa,2425,6,95,17,1,100,445,15,0,15,250,0,200,0,0,0,0,0,0,0,0,0,0,0,1
Rafaela,2441,7.2,117,15,0.99,100,545,23,0,15,245,0,200,0,0,0,0,0,0,0,0,0,0,0,0.99
Roger,2730,7.2,128,22,1.05,100,450,15,0,15,240,0,200,0,0,0,0,0,0,0,0,0,0,0,1.05
Ruby,2509,6,129,18,1.07,100,430,29,0,10,260,0,200,0,0,0,0,0,0,0,0,0,0,0,1.07
Saber,2599,7,118,20,1.08,100,443,16,0,15,260,0,200,0,0,0,0,0,0,0,0,0,0,0,1.08
Selena,2401,6.8,110,15,1,100,490,18,0,15,240,0,200,0,0,0,0,0,0,0,0,0,0,0,1
Silvanna,2828,7.8,126,22,1.14,80,430,16,0,15,255,0,200,0,0,0,0,0,0,0,0,0,0,0,0.912
Sun,2758,8.2,114,23,1.14,100,400,16,0,15,260,0,200,0,0,0,0,0,0,0,0,0,0,0,1.14
Terizla,2728,10.8,129,19,1,100,430,21,0,15,255,0,200,0,0,0,0,0,0,0,0,0,0,0,1
Thamus,2758,7.4,107,17,1.05,100,0,0,0,15,250,0,200,0,0,0,0,0,0,0,0,0,0,0,1.05
Tigreal,2690,8.4,112,20,1.03,100,450,12,0,15,260,0,200,0,0,0,0,0,0,0,0,0,0,0,1.03
Uranus,2489,6.4,115,14,1.04,100,455,12,0,15,260,0,200,0,0,0,0,0,0,0,0,0,0,0,1.04
Vale,2401,6.8,115,15,1,100,490,21,0,15,250,0,200,0,0,0,0,0,0,0,0,0,0,0,1
Valentina,2701,7.1,115,21,0.98,100,510,19,0,15,240,0,200,0,0,0,0,0,0,0,0,0,0,0,0.98
Valir,2516,6.8,105,20,1,100,495,18,0,15,245,0,200,0,0,0,0,0,0,0,0,0,0,0,1
Vexana,2481,7.6,112,17,1,100,490,20,0,15,245,0,200,0,0,0,0,0,0,0,0,0,0,0,1
Wanwan,2540,5.4,90,15,0.98,100,424,14,0,15,240,0,200,0,0,0,0,0,0,0,0,0,0,0,0.98
X borg,918,7.8,117,25,1.08,100,0,0,0,15,260,0,200,0,0,0,0,0,0,0,0,0,0,0,1.08
Yi sun-shin,2570,7.2,100,22,1.03,80,438,15,0,15,250,0,200,0,0,0,0,0,0,0,0,0,0,0,0.824
Yu Zhong,2698,11.8,129,21,1,80,0,0,0,15,245,0,200,0,0,0,0,0,0,0,0,0,0,0,0.8
Yve,2651,7.2,115,19,0.98,100,510,21,0,15,255,0,200,0,0,0,0,0,0,0,0,0,0,0,0.98
Zhask,2401,6.8,107,15,1,100,490,20,0,15,240,0,200,0,0,0,0,0,0,0,0,0,0,0,1
Zilong,2689,7,123,25,1.22,100,405,16,0,15,265,0,200,0,0,0,0,0,0,0,0,0,0,0,1.22
