"Nama,Role,Tipe,Tahun rilis"
"Ling,ASSASSIN,Chase/Burst,2019"
"Lolita,SUPPORT/TANK,Guard/Crowd Control,2016"
"Lunox,MAGE,Burst/Damage,2018"
"Luo Yi,MAGE,Support/Crowd Control,2020"
"Lylia,MAGE,Push/Damage,2019"
"Marsha,FIGHTER,Push/Damage,2019"
"Martis,FIGHTER,Reap/Charge,2018"
"Mathilda,SUPPORT/ASSASSIN,Initiator/Guard,2020"
"Minotaur,TANK/SUPPORT,Crowd Control,2016"
"Minsitthar,FIGHTER,Initiator/Crowd Control,2016"
"Miya,MM,Reap/Damage,2016"
"Moskov,MM,Reap/Chase,2017"
"Nana,MAGE/SUPPORT,Poke/Guard,2016"
"Natalia,ASSASSIN,Chase/Reap,2016"
"Natan,MM,Burst/Magic Damage,2021"
"Odette,MAGE,Burst/Poke,2017"
"Paquito,FIGHTER,Chase/Damage,2021"
"Pharsa,MAGE,Burst/Poke,2017"
"Phoveus,FIGHTER,Chase/Control,2016"
"Popol dan Kupa,MM,Push/Burst,2020"
"Rafaela,SUPPORT,Regen/Guard,2016"
"Roger,FIGHTER/MM,Reap/Burst,2017"
"Ruby,FIGHTER/TANK,Crowd Control/Regen,2017"
"Saber,ASSASSIN,Charge/Reap,2016"
"Selena,ASSASSIN/MAGE,Initiator/Reap,2018"
"Silvanna,FIGHTER,Initiator/Magic Damage,2019"
"Sun,FIGHTER,Push/Damage,2016"
"Terizla,FIGHTER,Burst/Crowd Control,2019"
"Thamus,FIGHTER,Chase/Damage,2018"
"Tigreal,TANK/SUPPORT,Crowd Control,2016"
"Uranus,TANK,Regen,2018"
"Vale,MAGE,Burst/Crowd Control,2019"
"Valentina,MAGE,Burst/Reap,2021"
"Valir,MAGE,Damage/Guard,2018"
"Vexana,MAGE,Poke/Control,2017"
"Wanwan,MM,Reap/Burst,2019"
"X borg,FIGHTER,Regen/Burst,2019"
"Yi sun-shin,ASSASSIN/MM,Reap/Chase,2017"
"Yu Zhong,FIGHTER,Regen/Damage,2020"
"Yve,MAGE,Poke/Burst,2021"
"Zhask,MAGE,Chase/Damage,2017"
"Zilong,FIGHTER/ASSASSIN,Chase/Damage,2016"
